Name,Train_test,SMILES,Solvent,Type,N,sol_PCA1,sol_PCA2,sol_PCA3,sol_PCA4,sol_PCA5,N_HOMO,N_LUMO,N_DM,N_EB,N_EA_H,N_EA_nonH,N_TCA,N_BAD,N_fukui,N_fukui_Li,N_fukui_charge,N_HOMO_PM6,N_LUMO_PM6,N_DM_PM6,N_EB_PM6,N_EA_H_PM6,N_EA_nonH_PM6
molecule_1017,Train,CC(C)C[Sn](CC(C)C)(CC(C)C)CC(C)C,dichloromethane,H-Donor,1.35,-0.7,-6.5,-1.3,1.3,2,-0.2967,0.06455,0.1065,-0.97773,0.2379,2.04227,235.2259822,98.21610079,-0.090169449,-0.041732,0.032515,-0.34783,0.04104,0.157,-0.655448,0.160778,1.127573
molecule_1018,Train,C[Si]1(C)CCCCC1,dichloromethane,H-Donor,-2.4,-0.7,-6.5,-1.3,1.3,2,-0.31282,0.08016,0.109,-1.17637,0.24598,1.79351,170.7938683,67.76007743,-0.093468502,-0.028359,0.03864,-0.33634,0.06323,0.8193,-0.661194,0.176377,0.531533
molecule_1019,Train,C[Si]1(C)CCCC1,dichloromethane,H-Donor,-3.86,-0.7,-6.5,-1.3,1.3,2,-0.32153,0.08086,0.2993,-1.17217,0.24726,1.7682,103.6128252,66.51842614,-0.115958182,-0.03362,0.039823,-0.34693,0.0588,0.5371,-0.662233,0.176765,0.541363
molecule_1020,Test,c1ccc(cc1)C(c2ccccc2)c3ccccc3,dichloromethane,H-Donor,-4.27,-0.7,-6.5,-1.3,1.3,2,-0.28802,0.01146,0.1671,-0.27955,0.26032,-0.03325,196.7837499,72.12064074,-0.085159345,-0.013726,0.042251,-0.33953,0.01087,0.1024,-0.199167,0.16269,0.053133
molecule_1021,Train,Cc1ccc(cc1)C(c2ccc(C)cc2)c3ccc(C)cc3,dichloromethane,H-Donor,-3.62,-0.7,-6.5,-1.3,1.3,2,-0.27503,0.018,0.4058,-0.64242,0.2588,-0.03975,196.5413595,71.94679436,-0.069050044,-0.012228,0.041227,-0.32376,0.01757,0.4468,-0.499963,0.166599,0.104303
molecule_1022,Train,COc1ccc(cc1)C(c2ccc(OC)cc2)c3ccc(OC)cc3,acetonitrile,H-Donor,-5.18,-4.7,-4.7,-3.3,-0.3,4.3,-0.25679,0.01195,3.0129,-0.56072,0.25832,0.33775,201.5988397,67.37613029,-0.041240112,-0.030282,0.039363,-0.31267,0.00996,3.6509,-0.377342,0.176621,0.321432
molecule_1023,Train,CN1C(N(C)c2ccccc12)c3cccc(Cl)c3,acetonitrile,H-Donor,9.38,-4.7,-4.7,-3.3,-0.3,4.3,-0.21908,-0.00128,3.1651,-0.52845,0.26178,0.21653,170.4516027,71.02368344,-0.079282746,-0.038563,0.038126,-0.29443,-0.01739,2.6348,-0.314602,0.180953,0.151795
molecule_1024,Train,CN1C(N(C)c2ccccc12)c3ccc(cc3)C(F)(F)F,acetonitrile,H-Donor,8.74,-4.7,-4.7,-3.3,-0.3,4.3,-0.22286,-0.01264,1.9728,-0.52811,0.25175,1.21015,170.5287729,71.07802141,-0.079073841,-0.038813,0.038444,-0.29951,-0.03379,0.4323,-0.315557,0.169833,0.506491
molecule_1025,Train,CN1C(N(C)c2ccccc12)c3ccc(cc3)[N+]([O-])=O,acetonitrile,H-Donor,8.36,-4.7,-4.7,-3.3,-0.3,4.3,-0.22783,-0.05494,3.3651,-0.52787,0.2697,0.54785,170.3712567,70.95106952,-0.078849551,-0.038224,0.039704,-0.30455,-0.05988,2.4111,-0.46413,0.178625,0.827957
molecule_103,Train,[OH-],water,O-Nucleophile,10.47,-17.1,-8.8,5.6,0.1,0.6,0.07965,0.41626,1.1843,-1.2636,0.2636,-1.2636,14.3432116,21.51481739,-0.767158161,-0.768828,-0.947961,-0.08482,0.55577,1.8885,-1.251423,0.251423,-1.251423
molecule_104,Test,NC(NN)=O,water,N-SP3,11.05,-17.1,-8.8,5.6,0.1,0.6,-0.31026,0.07721,4.5466,-0.8956,0.41801,0.88086,208.743544,70.53879159,-0.316836707,-0.113548,-0.185732,-0.36707,0.03357,4.2986,-0.587908,0.287748,0.71236
molecule_1046,Train,C[SiH](CC(C)(C)C)c1ccccc1,dichloromethane,H-Donor,0.87,-0.7,-6.5,-1.3,1.3,2,-0.30085,0.01676,0.479,-1.15266,0.25508,1.49915,226.1151475,77.52237371,-0.141097703,-0.021734,-0.084887,-0.34258,0.00879,2.4922,-0.712464,0.18815,0.429909
molecule_1047,Test,C[SiH](C)Cc1cccc(Cl)c1,dichloromethane,H-Donor,1.3,-0.7,-6.5,-1.3,1.3,2,-0.28781,0.0168,1.9825,-1.16517,0.25942,1.49997,218.755929,86.85546753,-0.137602262,-0.016385,-0.08905,-0.33068,0.00709,3.2022,-0.710797,0.193633,0.481486
molecule_1048,Train,C[SiH]1CCC1,dichloromethane,H-Donor,2.3,-0.7,-6.5,-1.3,1.3,2,-0.31915,0.08428,0.6469,-1.16335,0.25034,1.4636,113.7934139,52.22033204,-0.125616166,-0.072531,-0.086623,-0.34733,0.03413,0.5457,-0.709268,0.186722,0.452308
molecule_1049,Train,C[SiH]1CCCC1,dichloromethane,H-Donor,2.2,-0.7,-6.5,-1.3,1.3,2,-0.32894,0.08433,0.4572,-1.1573,0.25065,1.46813,106.4389518,47.30357522,-0.138278376,-0.047334,-0.089344,-0.3576,0.03992,1.0352,-0.708666,0.18405,0.438684
molecule_1050,Train,CCO[SiH](OCC)OCC,dichloromethane,H-Donor,-1.8,-0.7,-6.5,-1.3,1.3,2,-0.34796,0.08167,1.0872,-0.96501,0.22123,2.15669,190.9000442,57.20463996,-0.122186106,-0.036316,-0.079125,-0.3836,0.04519,2.9282,-0.52979,0.174373,0.129215
molecule_1051,Train,CCCO[SiH](C)C,dichloromethane,H-Donor,2.4,-0.7,-6.5,-1.3,1.3,2,-0.33162,0.09086,0.7845,-1.19454,0.25254,1.74834,189.9597856,69.88554756,-0.244094786,-0.083018,-0.095121,-0.36611,0.04304,3.2502,-0.682711,0.179421,0.365747
molecule_1052,Train,CC[GeH](CC)CC,dichloromethane,H-Donor,4,-0.7,-6.5,-1.3,1.3,2,-0.32152,0.07728,0.5388,-0.91908,0.23969,1.49711,138.0831264,57.58703229,-0.130139183,-0.046595,-0.127383,-0.35736,0.06877,0.0653,-0.427792,0.147021,0.208448
molecule_1053,Test,[BH4-],water,H-Donor,10.8,-17.1,-8.8,5.6,0.1,0.6,-0.10187,0.39748,0,-0.62859,-0.09285,-0.62859,21.25070219,31.87605328,-0.280657071,-0.172861,-0.17736,-0.18018,0.38413,0,-1.496618,0.124154,-1.496618
molecule_1054,Train,[BH3-]C#N,water,H-Donor,12.1,-17.1,-8.8,5.6,0.1,0.6,-0.13758,0.29966,1.377,-0.54488,-0.05247,0.17117,31.6196896,47.42953441,-0.239236896,-0.195348,-0.140454,-0.21074,0.26314,0.4262,-1.092996,0.124016,0.25802
molecule_1055,Train,CC[Si](CC)(CC)CC,acetonitrile,H-Donor,-6.5,-4.7,-4.7,-3.3,-0.3,4.3,-0.32389,0.07171,0,-0.95384,0.24288,1.82963,189.6587643,84.61017168,-0.084512641,-0.038386,0.03432,-0.34388,0.06235,0,-0.437263,0.15324,0.49573
molecule_1056,Train,CCCC[Si](C)(C)C,dichloromethane,H-Donor,-5.4,-0.7,-6.5,-1.3,1.3,2,-0.32635,0.07849,0.0428,-1.17458,0.24484,1.79002,125.9862167,68.29138219,-0.139635598,-0.038318,0.038504,-0.34716,0.06563,0.3991,-0.661753,0.174203,0.545959
molecule_1057,Train,C[Si](C)(C)CCc1ccccc1,dichloromethane,H-Donor,-3.5,-0.7,-6.5,-1.3,1.3,2,-0.29008,0.02995,0.5276,-1.17531,0.24605,1.78678,104.7343837,67.48796228,-0.142940147,-0.019864,0.038949,-0.33324,0.02073,0.1988,-0.662845,0.175061,0.55079
molecule_1058,Train,CC[Si](C)(CC)CC(c1ccccc1)c2ccccc2,dichloromethane,H-Donor,-6.4,-0.7,-6.5,-1.3,1.3,2,-0.28672,0.01818,0.3417,-1.17651,0.25394,1.82552,131.0557566,85.84514161,-0.08815904,-0.013546,0.039356,-0.33448,0.01575,0.6988,-0.668947,0.177056,0.515716
molecule_1059,Train,C[Si](C)(C)CCCCCC[Si](C)(C)C,dichloromethane,H-Donor,-4.7,-0.7,-6.5,-1.3,1.3,2,-0.3165,0.0781,0,-1.17509,0.24494,1.79084,126.1649767,68.54004429,-0.0688905,-0.022113,0.038483,-0.3405,0.06613,0,-0.662089,0.174204,0.546632
molecule_106,Train,NCC(F)(F)F,dimethylsulfoxide,N-SP3,12.15,-7.2,4,-4,2.6,0.6,-0.3289,0.09346,0.9888,-0.87891,0.37003,1.1799,200.4660306,66.01798421,-0.412911459,-0.424838,-0.249295,-0.38106,0.04633,1.0955,-0.470913,0.221734,0.445042
molecule_1061,Train,C[Si]1(C)CCC1,dichloromethane,H-Donor,-2.1,-0.7,-6.5,-1.3,1.3,2,-0.31157,0.08341,0.5776,-1.17635,0.24858,1.76003,106.9836534,67.48638961,-0.095768269,-0.037069,0.040725,-0.33817,0.0545,1.6619,-0.662336,0.178454,0.545763
molecule_1062,Train,C[Si]1(C)CCCCCC1,dichloromethane,H-Donor,-3.1,-0.7,-6.5,-1.3,1.3,2,-0.32169,0.07594,0.0452,-1.17444,0.24976,1.78492,125.3659183,67.4543352,-0.104550524,-0.028554,0.037928,-0.34089,0.06669,0.6459,-0.660014,0.175303,0.528356
molecule_1063,Train,CC[Sn](CC)(CC)CC,acetonitrile,H-Donor,-2.4,-4.7,-4.7,-3.3,-0.3,4.3,-0.29844,0.06285,0,-0.96074,0.23189,1.99153,133.8913781,86.14196249,-0.106783227,-0.035813,0.034903,-0.34505,0.04209,0,-0.569787,0.147333,1.09069
molecule_107,Train,[O-]CC(F)(F)F,water,O-Nucleophile,12.66,-17.1,-8.8,5.6,0.1,0.6,-0.03537,0.30602,5.2552,-0.92603,0.06159,1.1496,43.8900282,65.8350423,-0.489585781,-0.489265,-0.591393,-0.14745,0.24056,4.872,-0.83697,0.041121,0.408133
molecule_1073,Train,CC[Ge](CC)(CC)CC,acetonitrile,H-Donor,-4.7,-4.7,-4.7,-3.3,-0.3,4.3,-0.31546,0.071,0,-0.93967,0.23815,1.82509,195.1744581,85.10073232,-0.091267041,-0.03726,0.036457,-0.34985,0.07839,0,-0.420932,0.144295,0.479605
molecule_1074,Train,CC[Pb](CC)(CC)CC,acetonitrile,H-Donor,0.1,-4.7,-4.7,-3.3,-0.3,4.3,-0.28329,0.04579,0,-0.87399,0.22646,1.69653,134.660916,87.30129505,-0.120251628,-0.034316,0.037608,-0.32548,0.02431,0,-0.419858,0.164419,0.29703
molecule_1075,Train,CC[Hg]CC,acetonitrile,H-Donor,-0.7,-4.7,-4.7,-3.3,-0.3,4.3,-0.26917,0.02235,0,-0.92202,0.22259,0.96941,137.5113968,68.53181627,-0.173652605,-0.057214,0.023452,-0.30869,0.03665,0,-0.527711,0.159605,0.366707
molecule_1077,Train,C[Si](C)(C)CCC[Sn](C)(C)C,acetonitrile,H-Donor,-3.4,-4.7,-4.7,-3.3,-0.3,4.3,-0.29585,0.06497,0.1354,-1.19051,0.24496,1.94632,126.2315204,68.50745198,-0.118699429,-0.021596,0.038525,-0.33579,0.04734,0.5392,-0.833758,0.173685,1.24887
molecule_1078,Train,C[Sn](C)(C)CCC[Sn](C)(C)C,acetonitrile,H-Donor,-1.7,-4.7,-4.7,-3.3,-0.3,4.3,-0.28688,0.05986,0.2182,-1.19065,0.23584,1.94598,106.7841596,70.14880995,-0.085038988,-0.028268,0.039709,-0.34114,0.04512,0.167,-0.830994,0.170452,1.242943
molecule_1079,Train,C[Si](C)(C)CCC[Ge](C)(C)C,acetonitrile,H-Donor,-4.8,-4.7,-4.7,-3.3,-0.3,4.3,-0.30766,0.07162,0.0712,-1.17447,0.2449,1.78764,125.982708,68.26796594,-0.096386457,-0.025137,0.038506,-0.33665,0.06666,0.6773,-0.68162,0.174636,0.680018
molecule_1080,Train,C[Ge](C)(C)CCC[Sn](C)(C)C,acetonitrile,H-Donor,-2.4,-4.7,-4.7,-3.3,-0.3,4.3,-0.29378,0.06427,0.1527,-1.19063,0.2405,1.94669,106.9016893,70.19760731,-0.109741424,-0.03252,0.039676,-0.34172,0.04619,0.1007,-0.833333,0.171346,1.248694
molecule_1081,Test,C[Ge](C)(C)CCC[Ge](C)(C)C,acetonitrile,H-Donor,-3.4,-4.7,-4.7,-3.3,-0.3,4.3,-0.30409,0.07066,0.0853,-1.1616,0.24046,1.7852,126.3197139,68.95183139,-0.085516656,-0.025979,0.041482,-0.34251,0.08343,0.0582,-0.681368,0.167225,0.680935
molecule_1082,Train,C[Si](C)(C)CCC[Pb](C)(C)C,acetonitrile,H-Donor,-1.2,-4.7,-4.7,-3.3,-0.3,4.3,-0.28442,0.04741,0.2652,-1.17451,0.24509,1.78712,126.0399446,68.32019521,-0.120261013,-0.018758,0.03867,-0.32203,0.03257,0.5476,-0.688491,0.189612,0.543644
molecule_1083,Train,C[Ge](C)(C)CCC[Pb](C)(C)C,acetonitrile,H-Donor,-1,-4.7,-4.7,-3.3,-0.3,4.3,-0.28317,0.04686,0.2659,-1.1617,0.24066,1.78463,105.4614507,68.39264115,-0.113620533,-0.022247,0.041504,-0.32562,0.03142,0.0664,-0.687376,0.189909,0.679444
molecule_109,Train,NCC(OCC)=O,dimethylsulfoxide,N-SP3,14.3,-7.2,4,-4,2.6,0.6,-0.30213,0.06042,2.1805,-0.88776,0.37736,0.88002,217.1719203,85.4539902,-0.407419287,-0.418766,-0.259957,-0.3647,0.02058,2.0263,-0.525353,0.21742,0.580775
molecule_110,Train,O[O-],water,O-Nucleophile,15.4,-17.1,-8.8,5.6,0.1,0.6,0.05943,0.34211,2.5864,-0.75598,0.38027,-0.62428,66.13306858,61.83682146,-0.61926087,-0.619704,-0.688711,-0.0455,0.32915,3.2762,-0.854827,0.233277,-0.37845
molecule_1103,Train,CCOCC,dichloromethane,H-Donor,-5.1,-0.7,-6.5,-1.3,1.3,2,-0.32115,0.09999,1.091,-0.64696,0.21926,-0.04709,140.2220975,63.01805915,-0.317372528,-0.083987,0.026886,-0.35256,0.08576,1.455,-0.490763,0.167752,0.036134
molecule_1104,Train,C1CCOC1,dichloromethane,H-Donor,-3.5,-0.7,-6.5,-1.3,1.3,2,-0.32234,0.09101,1.5899,-0.61087,0.22711,-0.05734,97.89988427,59.14145693,-0.338408212,-0.095259,0.027604,-0.35027,0.08705,2.2843,-0.46627,0.143011,0.008711
molecule_1105,Train,COCOC,dichloromethane,H-Donor,-4.9,-0.7,-6.5,-1.3,1.3,2,-0.343,0.10293,0.2965,-0.62495,0.20151,0.28893,107.0736149,63.988273,-0.205463918,-0.057626,0.039615,-0.37846,0.07221,0.3037,-0.46437,0.150199,0.205283
molecule_1106,Train,CC1OCCO1,dichloromethane,H-Donor,-3.3,-0.7,-6.5,-1.3,1.3,2,-0.32543,0.09952,1.212,-0.66003,0.22962,0.45895,120.1838231,59.17634585,-0.286020733,-0.109363,0.025639,-0.36872,0.06037,1.8593,-0.586783,0.178191,0.427258
molecule_1107,Train,C[C@H]1OCO[C@@H]1C,dichloromethane,H-Donor,-2.4,-0.7,-6.5,-1.3,1.3,2,-0.31966,0.09489,1.2985,-0.65162,0.2333,0.30584,101.8484597,54.30685951,-0.171118078,-0.109157,0.040726,-0.36092,0.06013,1.668,-0.540217,0.177117,0.227648
molecule_1108,Train,CC1O[C@@H](C)[C@H](C)O1,dichloromethane,H-Donor,-3,-0.7,-6.5,-1.3,1.3,2,-0.31997,0.09424,1.2474,-0.65951,0.23222,0.46506,141.2660607,67.11140958,-0.276154588,-0.097547,0.025969,-0.36321,0.06567,1.8281,-0.582149,0.17706,0.434203
molecule_1109,Train,CCC1O[C@H](C)[C@@H](C)O1,dichloromethane,H-Donor,-2.9,-0.7,-6.5,-1.3,1.3,2,-0.31923,0.09378,1.323,-0.6549,0.23214,0.47074,146.5323351,67.74944797,-0.262198838,-0.097922,0.023982,-0.35937,0.06544,1.4713,-0.541213,0.177313,0.397906
molecule_111,Train,NCCC,dimethylsulfoxide,N-SP3,15.7,-7.2,4,-4,2.6,0.6,-0.29537,0.0963,1.2691,-0.88628,0.36072,-0.20274,232.1716418,95.06058707,-0.395256909,-0.406672,-0.260655,-0.34296,0.12557,1.93,-0.526248,0.203073,-0.142501
molecule_1110,Train,C[C@@H]1OC(O[C@H]1C)C=C,dichloromethane,H-Donor,-2.6,-0.7,-6.5,-1.3,1.3,2,-0.32108,0.04404,1.3291,-0.65339,0.23336,0.44369,146.2595155,67.70107233,-0.254821656,-0.078759,0.031068,-0.36469,0.03113,1.9334,-0.541902,0.176451,0.382731
molecule_1111,Train,CC(C)C1O[C@@H](C)[C@H](C)O1,dichloromethane,H-Donor,-4.1,-0.7,-6.5,-1.3,1.3,2,-0.31648,0.09154,1.3165,-0.65375,0.2369,0.47795,184.2573446,65.62917948,-0.22336317,-0.097714,0.028465,-0.35349,0.06572,1.5509,-0.543737,0.17624,0.361371
molecule_1112,Train,CC1O[C@@H](C)[C@@H](C)O1,dichloromethane,H-Donor,-2.5,-0.7,-6.5,-1.3,1.3,2,-0.32068,0.09429,1.1706,-0.66718,0.23416,0.4625,120.7011287,58.20461786,-0.275410928,-0.100708,0.026082,-0.36568,0.06656,2.2942,-0.583963,0.176538,0.432641
molecule_1113,Train,CCC1O[C@H](C)[C@H](C)O1,dichloromethane,H-Donor,-2.4,-0.7,-6.5,-1.3,1.3,2,-0.31462,0.09212,1.1816,-0.67412,0.23401,0.47171,130.7220237,64.95193767,-0.170651434,-0.096009,0.032247,-0.36124,0.06802,1.6126,-0.524105,0.172739,0.39308
molecule_1114,Train,CC(C)C1O[C@H](C)[C@H](C)O1,dichloromethane,H-Donor,-3.5,-0.7,-6.5,-1.3,1.3,2,-0.31439,0.08776,1.2691,-0.67541,0.23689,0.47217,142.0851015,68.63192354,-0.196638774,-0.096815,0.028622,-0.35341,0.06555,1.5434,-0.525832,0.174297,0.359062
molecule_1115,Test,C1CCOCOC1,dichloromethane,H-Donor,-3.8,-0.7,-6.5,-1.3,1.3,2,-0.31976,0.10027,0.959,-0.6418,0.22898,0.29955,109.7819114,55.24788207,-0.170209525,-0.076336,0.039135,-0.36461,0.06773,1.3282,-0.496103,0.153244,0.226173
molecule_1116,Test,[H]C(C1=CC=C(C)C=C1)(C2=CC=C(C)C=C2)C3=CC=C(C)C=C3,acetonitrile,H-Donor,-8.8,-4.7,-4.7,-3.3,-0.3,4.3,-0.2725,0.01333,0.1574,-0.64237,0.26033,-0.04661,202.2369365,67.66966681,-0.050452074,-0.032677,0.040577,-0.32374,0.01763,0.3024,-0.499974,0.166338,0.104227
molecule_1117,Train,[H]C(C1=CC=C(OC)C=C1)(C2=CC=C(OC)C=C2)C3=CC=C(OC)C=C3,acetonitrile,H-Donor,-7,-4.7,-4.7,-3.3,-0.3,4.3,-0.25679,0.01198,3.0285,-0.56057,0.25825,0.33775,201.7048754,67.37504786,-0.041332273,-0.030135,0.03935,-0.31267,0.00996,3.6526,-0.377328,0.176621,0.321422
molecule_1118,Train,[H]C(C1=CC=C(N(C)C)C=C1)(C2=CC=C(N(C)C)C=C2)C3=CC=C(N(C)C)C=C3,acetonitrile,H-Donor,-3.3,-4.7,-4.7,-3.3,-0.3,4.3,-0.21866,0.02626,1.7336,-0.51356,0.25373,0.19558,201.9977967,67.54077021,-0.04465583,-0.022484,0.035863,-0.28719,0.02391,3.3858,-0.321028,0.157502,0.219277
molecule_1119,Train,[H]C(C1=CC=C(N(C)C)C=C1)(C2=CC=CC=C2)C3=CC=C(N(C)C)C=C3,acetonitrile,H-Donor,-4.2,-4.7,-4.7,-3.3,-0.3,4.3,-0.22638,0.0207,2.5186,-0.51297,0.25661,0.19727,203.2830528,67.80841914,-0.066152117,-0.01961,0.037869,-0.29119,0.02002,2.3016,-0.32077,0.164572,0.222088
molecule_112,Train,O=S([O-])[O-],water,O-Nucleophile,16.83,-17.1,-8.8,5.6,0.1,0.6,0.21859,0.64313,1.7913,-1.18376,0,1.55124,117.7085938,68.8857636,-0.316861715,-0.227662,-0.685064,0.11301,0.46814,3.8781,-1.081041,0,1.243094
molecule_1120,Train,[H]C1([H])C2=C(C=CC=C2)N(C)C3=CC=CC=C31,acetonitrile,H-Donor,4,-4.7,-4.7,-3.3,-0.3,4.3,-0.23874,0.02203,0.9583,-0.49796,0.24479,0.19742,166.7847651,68.72669141,-0.119618939,-0.029851,0.042851,-0.28675,0.0052,0.9843,-0.295951,0.161728,0.206505
molecule_1121,Train,[H]C1([H])C=CCC2=C1C=CC=C2,acetonitrile,H-Donor,-2.5,-4.7,-4.7,-3.3,-0.3,4.3,-0.28261,0.02587,0.2611,-0.47466,0.24382,-0.03822,130.7833381,62.25501148,-0.086169508,-0.051757,0.042746,-0.32826,0.01666,0.5475,-0.283768,0.156129,0.028187
molecule_1122,Train,C1(CCC=C2)=C2C=CC=C1,acetonitrile,H-Donor,-3.3,-4.7,-4.7,-3.3,-0.3,4.3,-0.2659,0.0013,0.5987,-0.46386,0.2359,-0.02293,114.1478339,70.92348776,-0.13163472,-0.03992,0.039412,-0.31946,0.00306,0.9818,-0.278225,0.151722,0.045891
molecule_1123,Train,CC1=NCCN1,dichloromethane,N-SP2,12.92,-0.7,-6.5,-1.3,1.3,2,-0.27225,0.07661,2.7317,-0.72049,0.3942,0.47868,224.4719706,86.06719752,-0.2023127,-0.204485,-0.262101,-0.33552,0.0437,2.7409,-0.506195,0.244567,0.339027
molecule_1124,Train,C1(C2=CC=CC=C2)=NCCN1,dichloromethane,N-SP2,12.31,-0.7,-6.5,-1.3,1.3,2,-0.2735,-0.00069,2.3903,-0.71333,0.39874,0.47263,241.7901405,112.5193646,-0.184662559,-0.186953,-0.246167,-0.33758,-0.00702,2.6326,-0.458209,0.246645,0.273843
