Name,Train_test,SMILES,Solvent,Type,N,sol_PCA1,sol_PCA2,sol_PCA3,sol_PCA4,sol_PCA5,NS_HOMO,NS_LUMO,NS_DM,NS_EB,NS_EA_H,NS_EA_nonH,NS_DeltaG,N_TCA,N_BAD,N_fukui,N_fukui_Li,N_fukui_charge,NS_HOMO_PM6,NS_LUMO_PM6,NS_DM_PM6,NS_EB_PM6,NS_EA_H_PM6,NS_EA_nonH_PM6,NS_DeltaG_PM6
molecule_1009,Train,CCCC1OCCO1,dichloromethane,H-Donor,-1.06,-0.7,-6.5,-1.3,1.3,2,-0.32763,0.10155,1.5625,-0.64817,0.23374,0.46828,-0.004699,129.1753087,63.74054451,-0.260391406,-0.105898,0.024495,-0.3774,0.05236,2.2566,-0.515092,0.16868,0.393032,-0.007075
molecule_101,Train,O,water,O-Nucleophile,5.2,-17.1,-8.8,5.6,0.1,0.6,-0.3803,0.10048,2.2598,-0.93641,0.46821,-0.93641,-0.006999,53.52128595,40.14096447,-0.664754722,-0.666739,-0.34071,-0.4434,0.15244,2.2221,-0.659177,0.329588,-0.659177,-0.0066
molecule_1010,Train,C1COC(O1)c2ccccc2,dichloromethane,H-Donor,-0.9,-0.7,-6.5,-1.3,1.3,2,-0.30945,0.01719,2.0337,-0.6327,0.24457,0.46305,-0.005419,98.87493775,54.21611235,-0.139974734,-0.020118,0.05602,-0.36235,-0.00162,2.2976,-0.497936,0.161201,0.371691,-0.008214
molecule_1011,Test,NC(=O)C1=CN(Cc2ccccc2)C=CC1,acetonitrile,H-Donor,9.8,-4.7,-4.7,-3.3,-0.3,4.3,-0.24123,0.00227,4.4133,-0.851,0.41687,0.72019,-0.014265,179.1419265,66.89550885,-0.114748974,-0.02766,0.04684,-0.30847,-0.01052,5.9232,-0.701736,0.284294,0.652107,-0.01786
molecule_1015,Train,CN1c2ccccc2Cc3ccccc13,dichloromethane,H-Donor,5.54,-0.7,-6.5,-1.3,1.3,2,-0.24271,0.01713,1.2374,-0.4984,0.24743,0.19328,-0.005484,166.7842525,68.72629825,-0.11961869,-0.02985,0.042846,-0.29702,-0.00371,1.1193,-0.307919,0.169908,0.185106,-0.006184
molecule_1016,Train,CCCC[Sn](CCCC)(CCCC)CCCC,dichloromethane,H-Donor,-0.3,-0.7,-6.5,-1.3,1.3,2,-0.2939,0.06564,0,-0.96276,0.2325,2.03542,-0.002095,205.4523668,112.0801877,-0.102659815,-0.031716,0.03438,-0.34934,0.03771,0,-0.618709,0.155281,1.126822,-0.011329
molecule_1017,Train,CC(C)C[Sn](CC(C)C)(CC(C)C)CC(C)C,dichloromethane,H-Donor,1.35,-0.7,-6.5,-1.3,1.3,2,-0.29489,0.06681,0.1385,-0.97866,0.23769,2.04533,-0.001633,235.2259822,98.21610079,-0.090169449,-0.041732,0.032515,-0.34985,0.03934,0.1995,-0.658922,0.160553,1.143147,-0.003636
molecule_1018,Train,C[Si]1(C)CCCCC1,dichloromethane,H-Donor,-2.4,-0.7,-6.5,-1.3,1.3,2,-0.31168,0.08208,0.146,-1.17934,0.24619,1.7969,-0.00105,170.7938683,67.76007743,-0.093468502,-0.028359,0.03864,-0.34049,0.05884,0.791,-0.665959,0.178311,0.52483,-0.002177
molecule_1019,Train,C[Si]1(C)CCCC1,dichloromethane,H-Donor,-3.86,-0.7,-6.5,-1.3,1.3,2,-0.32055,0.08292,0.3847,-1.17515,0.24686,1.77272,-0.001112,103.6128252,66.51842614,-0.115958182,-0.03362,0.039823,-0.35216,0.05388,0.5949,-0.666135,0.178656,0.531003,-0.002083
molecule_1022,Train,COc1ccc(cc1)C(c2ccc(OC)cc2)c3ccc(OC)cc3,acetonitrile,H-Donor,-5.18,-4.7,-4.7,-3.3,-0.3,4.3,-0.26454,0.00411,4.1072,-0.57028,0.26495,0.3344,-0.012756,201.5988397,67.37613029,-0.041240112,-0.030282,0.039363,-0.3263,-0.00288,4.7283,-0.407632,0.180032,0.31441,-0.01536
molecule_1023,Train,CN1C(N(C)c2ccccc12)c3cccc(Cl)c3,acetonitrile,H-Donor,9.38,-4.7,-4.7,-3.3,-0.3,4.3,-0.22472,-0.00175,4.5775,-0.53004,0.25787,0.21454,-0.008108,170.4516027,71.02368344,-0.079282746,-0.038563,0.038126,-0.30829,-0.01798,3.3407,-0.322594,0.180413,0.155933,-0.011391
molecule_1024,Train,CN1C(N(C)c2ccccc12)c3ccc(cc3)C(F)(F)F,acetonitrile,H-Donor,8.74,-4.7,-4.7,-3.3,-0.3,4.3,-0.22511,-0.01059,2.8204,-0.52978,0.2551,1.21092,-0.008508,170.5287729,71.07802141,-0.079073841,-0.038813,0.038444,-0.3093,-0.03187,0.2669,-0.32028,0.176313,0.520513,-0.009916
molecule_1025,Train,CN1C(N(C)c2ccccc12)c3ccc(cc3)[N+]([O-])=O,acetonitrile,H-Donor,8.36,-4.7,-4.7,-3.3,-0.3,4.3,-0.22659,-0.05784,4.1627,-0.52926,0.27123,0.55602,-0.011834,170.3712567,70.95106952,-0.078849551,-0.038224,0.039704,-0.31083,-0.06234,2.9674,-0.507451,0.184951,0.852266,-0.017641
molecule_103,Train,[OH-],water,O-Nucleophile,10.47,-17.1,-8.8,5.6,0.1,0.6,-0.17989,0.18881,1.5599,-1.3151,0.3151,-1.3151,-0.135579,14.3432116,21.51481739,-0.767158161,-0.768828,-0.947961,-0.35395,0.30039,2.0281,-1.283259,0.283259,-1.283259,-0.139714
molecule_104,Test,NC(NN)=O,water,N-SP3,11.05,-17.1,-8.8,5.6,0.1,0.6,-0.31563,0.09482,5.6099,-0.88993,0.42853,0.87815,-0.013255,208.743544,70.53879159,-0.316836707,-0.113548,-0.185732,-0.37197,0.03037,5.6606,-0.692953,0.299345,0.706949,-0.016493
molecule_1046,Train,C[SiH](CC(C)(C)C)c1ccccc1,dichloromethane,H-Donor,0.87,-0.7,-6.5,-1.3,1.3,2,-0.30409,0.01343,0.6954,-1.15567,0.2544,1.50164,-0.002991,226.1151475,77.52237371,-0.141097703,-0.021734,-0.084887,-0.34965,0.00199,1.9834,-0.717372,0.189433,0.423293,-0.002886
molecule_1047,Test,C[SiH](C)Cc1cccc(Cl)c1,dichloromethane,H-Donor,1.3,-0.7,-6.5,-1.3,1.3,2,-0.28982,0.01438,2.5377,-1.16743,0.26382,1.50805,-0.00403,218.755929,86.85546753,-0.137602262,-0.016385,-0.08905,-0.33577,-0.00056,3.9323,-0.715543,0.200108,0.484107,-0.004909
molecule_1048,Train,C[SiH]1CCC1,dichloromethane,H-Donor,2.3,-0.7,-6.5,-1.3,1.3,2,-0.31853,0.08558,0.8468,-1.1667,0.25285,1.47128,-0.001153,113.7934139,52.22033204,-0.125616166,-0.072531,-0.086623,-0.35199,0.02905,0.5274,-0.7141,0.191889,0.441752,-0.001819
molecule_1049,Train,C[SiH]1CCCC1,dichloromethane,H-Donor,2.2,-0.7,-6.5,-1.3,1.3,2,-0.3277,0.0864,0.6029,-1.16031,0.25042,1.47473,-0.001084,106.4389518,47.30357522,-0.138278376,-0.047334,-0.089344,-0.36241,0.03471,1.0075,-0.713586,0.188834,0.427716,-0.002045
molecule_1050,Train,CCO[SiH](OCC)OCC,dichloromethane,H-Donor,-1.8,-0.7,-6.5,-1.3,1.3,2,-0.35209,0.08314,1.4548,-0.97133,0.22493,2.15268,-0.005418,190.9000442,57.20463996,-0.122186106,-0.036316,-0.079125,-0.40603,0.02096,3.7505,-0.531068,0.17587,0.120614,-0.011535
molecule_1051,Train,CCCO[SiH](C)C,dichloromethane,H-Donor,2.4,-0.7,-6.5,-1.3,1.3,2,-0.33382,0.09289,1.132,-1.19813,0.25207,1.75052,-0.001986,189.9597856,69.88554756,-0.244094786,-0.083018,-0.095121,-0.37802,0.03008,3.3527,-0.686571,0.186187,0.332921,-0.001698
molecule_1052,Train,CC[GeH](CC)CC,dichloromethane,H-Donor,4,-0.7,-6.5,-1.3,1.3,2,-0.32031,0.07976,0.7387,-0.92045,0.24079,1.50382,-0.001172,138.0831264,57.58703229,-0.130139183,-0.046595,-0.127383,-0.36158,0.0643,0.0794,-0.433365,0.148205,0.196435,-0.002962
molecule_1053,Test,[BH4-],water,H-Donor,10.8,-17.1,-8.8,5.6,0.1,0.6,-0.31163,0.19363,0,-0.65682,-0.08579,-0.65682,-0.103787,21.25070219,31.87605328,-0.280657071,-0.172861,-0.17736,-0.40456,0.16048,0,-1.562941,0.140735,-1.562941,-0.11344
molecule_1054,Train,[BH3-]C#N,water,H-Donor,12.1,-17.1,-8.8,5.6,0.1,0.6,-0.31859,0.11921,1.2512,-0.54629,-0.04547,0.16894,-0.089914,31.6196896,47.42953441,-0.239236896,-0.195348,-0.140454,-0.39804,0.07335,0.2824,-1.136181,0.138468,0.268313,-0.09573
molecule_1055,Train,CC[Si](CC)(CC)CC,acetonitrile,H-Donor,-6.5,-4.7,-4.7,-3.3,-0.3,4.3,-0.3223,0.07404,0,-0.9551,0.24343,1.8317,-0.00125,189.6587643,84.61017168,-0.084512641,-0.038386,0.03432,-0.34659,0.05948,0,-0.441538,0.155511,0.497109,0.001052
molecule_1056,Train,CCCC[Si](C)(C)C,dichloromethane,H-Donor,-5.4,-0.7,-6.5,-1.3,1.3,2,-0.32494,0.08064,0.049,-1.1774,0.24543,1.79371,-0.001339,125.9862167,68.29138219,-0.139635598,-0.038318,0.038504,-0.35158,0.06166,0.4127,-0.666841,0.176704,0.539088,-0.002518
molecule_1057,Train,C[Si](C)(C)CCc1ccccc1,dichloromethane,H-Donor,-3.5,-0.7,-6.5,-1.3,1.3,2,-0.29391,0.02514,0.68,-1.17821,0.24681,1.79165,-0.003317,104.7343837,67.48796228,-0.142940147,-0.019864,0.038949,-0.34095,0.01165,0.3031,-0.667849,0.177278,0.547778,-0.003623
molecule_1058,Train,CC[Si](C)(CC)CC(c1ccccc1)c2ccccc2,dichloromethane,H-Donor,-6.4,-0.7,-6.5,-1.3,1.3,2,-0.29032,0.0146,0.3787,-1.17994,0.25684,1.82687,-0.005521,131.0557566,85.84514161,-0.08815904,-0.013546,0.039356,-0.3421,0.00782,0.7751,-0.673634,0.179453,0.515988,-0.005058
molecule_1059,Train,C[Si](C)(C)CCCCCC[Si](C)(C)C,dichloromethane,H-Donor,-4.7,-0.7,-6.5,-1.3,1.3,2,-0.31514,0.08016,0,-1.1779,0.24553,1.79448,-0.002221,126.1649767,68.54004429,-0.0688905,-0.022113,0.038483,-0.34544,0.06163,0,-0.666944,0.176611,0.540006,-0.001211
molecule_106,Train,NCC(F)(F)F,dimethylsulfoxide,N-SP3,12.15,-7.2,4,-4,2.6,0.6,-0.32604,0.10515,1.1055,-0.89616,0.37841,1.18109,-0.005379,200.4660306,66.01798421,-0.412911459,-0.424838,-0.249295,-0.38302,0.04542,1.2703,-0.494827,0.233179,0.465408,-0.007122
molecule_1061,Train,C[Si]1(C)CCC1,dichloromethane,H-Donor,-2.1,-0.7,-6.5,-1.3,1.3,2,-0.31118,0.08596,0.7377,-1.1799,0.24986,1.76544,-0.001212,106.9836534,67.48638961,-0.095768269,-0.037069,0.040725,-0.34341,0.04903,1.7636,-0.666593,0.181383,0.534655,-0.002167
molecule_1062,Train,C[Si]1(C)CCCCCC1,dichloromethane,H-Donor,-3.1,-0.7,-6.5,-1.3,1.3,2,-0.32034,0.07782,0.0476,-1.17721,0.25003,1.78785,-0.001089,125.3659183,67.4543352,-0.104550524,-0.028554,0.037928,-0.34478,0.06237,0.6226,-0.665403,0.177669,0.522664,-0.001866
molecule_1063,Train,CC[Sn](CC)(CC)CC,acetonitrile,H-Donor,-2.4,-4.7,-4.7,-3.3,-0.3,4.3,-0.29558,0.06605,0,-0.962,0.2319,2.00068,-0.001768,133.8913781,86.14196249,-0.106783227,-0.035813,0.034903,-0.34646,0.04162,0,-0.581318,0.149347,1.125265,-0.007074
molecule_107,Train,[O-]CC(F)(F)F,water,O-Nucleophile,12.66,-17.1,-8.8,5.6,0.1,0.6,-0.22073,0.14626,6.2023,-0.99396,0.09848,1.15385,-0.096215,43.8900282,65.8350423,-0.489585781,-0.489265,-0.591393,-0.33559,0.07005,6.7987,-0.984872,0.087664,0.428941,-0.102054
molecule_1073,Train,CC[Ge](CC)(CC)CC,acetonitrile,H-Donor,-4.7,-4.7,-4.7,-3.3,-0.3,4.3,-0.31379,0.07344,0,-0.94103,0.23865,1.82797,-0.001337,195.1744581,85.10073232,-0.091267041,-0.03726,0.036457,-0.35333,0.07494,0,-0.425682,0.145885,0.481065,0.003909
molecule_1074,Train,CC[Pb](CC)(CC)CC,acetonitrile,H-Donor,0.1,-4.7,-4.7,-3.3,-0.3,4.3,-0.28069,0.04868,0,-0.87629,0.22654,1.70873,-0.001711,134.660916,87.30129505,-0.120251628,-0.034316,0.037608,-0.33416,0.0148,0,-0.425532,0.16892,0.272309,-0.002934
molecule_1075,Train,CC[Hg]CC,acetonitrile,H-Donor,-0.7,-4.7,-4.7,-3.3,-0.3,4.3,-0.24981,0.05713,0,-0.93223,0.20784,1.08378,-0.026364,137.5113968,68.53181627,-0.173652605,-0.057214,0.023452,-0.19876,-0.13951,0,-0.446793,0.182985,-0.000674,-1.919666
molecule_1077,Train,C[Si](C)(C)CCC[Sn](C)(C)C,acetonitrile,H-Donor,-3.4,-4.7,-4.7,-3.3,-0.3,4.3,-0.29281,0.06853,0.1526,-1.19415,0.24536,1.96092,-0.004882,126.2315204,68.50745198,-0.118699429,-0.021596,0.038525,-0.33859,0.04785,0.4444,-0.842404,0.177149,1.27781,-0.005696
molecule_1078,Train,C[Sn](C)(C)CCC[Sn](C)(C)C,acetonitrile,H-Donor,-1.7,-4.7,-4.7,-3.3,-0.3,4.3,-0.2832,0.0637,0.2809,-1.19425,0.23537,1.96033,-0.003763,106.7841596,70.14880995,-0.085038988,-0.028268,0.039709,-0.34073,0.04632,0.172,-0.841487,0.171668,1.274752,-0.009844
molecule_1079,Train,C[Si](C)(C)CCC[Ge](C)(C)C,acetonitrile,H-Donor,-4.8,-4.7,-4.7,-3.3,-0.3,4.3,-0.30566,0.07435,0.0677,-1.17766,0.24544,1.79211,-0.002462,125.982708,68.26796594,-0.096386457,-0.025137,0.038506,-0.34218,0.06159,0.7143,-0.687039,0.177681,0.67116,-0.006317
molecule_1080,Train,C[Ge](C)(C)CCC[Sn](C)(C)C,acetonitrile,H-Donor,-2.4,-4.7,-4.7,-3.3,-0.3,4.3,-0.29072,0.06766,0.1849,-1.19449,0.2409,1.96058,-0.010991,106.9016893,70.19760731,-0.109741424,-0.03252,0.039676,-0.34372,0.04703,0.1598,-0.840946,0.171848,1.2781,-0.00051
molecule_1081,Test,C[Ge](C)(C)CCC[Ge](C)(C)C,acetonitrile,H-Donor,-3.4,-4.7,-4.7,-3.3,-0.3,4.3,-0.30197,0.07348,0.0894,-1.16486,0.24083,1.79098,-0.002477,126.3197139,68.95183139,-0.085516656,-0.025979,0.041482,-0.34728,0.07883,0.0475,-0.687303,0.169872,0.673449,-0.001813
molecule_1082,Train,C[Si](C)(C)CCC[Pb](C)(C)C,acetonitrile,H-Donor,-1.2,-4.7,-4.7,-3.3,-0.3,4.3,-0.28142,0.05003,0.3337,-1.17755,0.24551,1.79163,-0.00349,126.0399446,68.32019521,-0.120261013,-0.018758,0.03867,-0.3312,0.02282,0.5877,-0.70683,0.196302,0.536476,-0.007605
molecule_1083,Train,C[Ge](C)(C)CCC[Pb](C)(C)C,acetonitrile,H-Donor,-1,-4.7,-4.7,-3.3,-0.3,4.3,-0.28008,0.04957,0.3397,-1.16491,0.24093,1.7906,-0.003382,105.4614507,68.39264115,-0.113620533,-0.022247,0.041504,-0.33462,0.02217,0.131,-0.705651,0.196191,0.672826,-0.004481
molecule_109,Train,NCC(OCC)=O,dimethylsulfoxide,N-SP3,14.3,-7.2,4,-4,2.6,0.6,-0.3117,0.05747,3.0339,-0.90324,0.37928,0.88877,-0.008655,217.1719203,85.4539902,-0.407419287,-0.418766,-0.259957,-0.37627,0.01374,2.5242,-0.580357,0.228034,0.615547,-0.010583
molecule_110,Train,O[O-],water,O-Nucleophile,15.4,-17.1,-8.8,5.6,0.1,0.6,-0.17386,0.15114,3.0973,-0.79161,0.4179,-0.62629,-0.124867,66.13306858,61.83682146,-0.61926087,-0.619704,-0.688711,-0.28932,0.09326,3.7413,-0.906746,0.280071,-0.373325,-0.130836
molecule_1103,Train,CCOCC,dichloromethane,H-Donor,-5.1,-0.7,-6.5,-1.3,1.3,2,-0.32408,0.10151,1.4129,-0.65007,0.22423,-0.04971,-0.00242,140.2220975,63.01805915,-0.317372528,-0.083987,0.026886,-0.36461,0.07623,1.8151,-0.515574,0.165885,0.037111,-0.004508
molecule_1104,Train,C1CCOC1,dichloromethane,H-Donor,-3.5,-0.7,-6.5,-1.3,1.3,2,-0.32566,0.09447,1.9097,-0.62875,0.23136,-0.05971,-0.003025,97.89988427,59.14145693,-0.338408212,-0.095259,0.027604,-0.36329,0.07786,2.6658,-0.509156,0.149553,0.010848,-0.006034
molecule_1105,Train,COCOC,dichloromethane,H-Donor,-4.9,-0.7,-6.5,-1.3,1.3,2,-0.34587,0.10468,0.2982,-0.63536,0.20428,0.28691,-0.003975,107.0736149,63.988273,-0.205463918,-0.057626,0.039615,-0.38866,0.06564,0.0493,-0.487615,0.154485,0.21133,-0.006662
molecule_1106,Train,CC1OCCO1,dichloromethane,H-Donor,-3.3,-0.7,-6.5,-1.3,1.3,2,-0.32957,0.10347,1.5368,-0.66387,0.23261,0.45703,-0.004618,120.1838231,59.17634585,-0.286020733,-0.109363,0.025639,-0.38102,0.05367,2.2516,-0.592956,0.183774,0.43098,-0.007
molecule_1107,Train,C[C@H]1OCO[C@@H]1C,dichloromethane,H-Donor,-2.4,-0.7,-6.5,-1.3,1.3,2,-0.32284,0.09961,1.6203,-0.65461,0.23265,0.304,-0.004112,101.8484597,54.30685951,-0.171118078,-0.109157,0.040726,-0.37148,0.05108,2.1153,-0.543411,0.177328,0.231276,-0.004841
molecule_1108,Train,CC1O[C@@H](C)[C@H](C)O1,dichloromethane,H-Donor,-3,-0.7,-6.5,-1.3,1.3,2,-0.32522,0.09833,1.6446,-0.66319,0.23216,0.46219,-0.004461,141.2660607,67.11140958,-0.276154588,-0.097547,0.025969,-0.37735,0.05598,2.4523,-0.592213,0.18384,0.437774,-0.006256
molecule_1109,Train,CCC1O[C@H](C)[C@@H](C)O1,dichloromethane,H-Donor,-2.9,-0.7,-6.5,-1.3,1.3,2,-0.32496,0.09776,1.7034,-0.65858,0.23331,0.46758,-0.004025,146.5323351,67.74944797,-0.262198838,-0.097922,0.023982,-0.37354,0.05552,2.4101,-0.545917,0.175949,0.397334,-0.007636
molecule_111,Train,NCCC,dimethylsulfoxide,N-SP3,15.7,-7.2,4,-4,2.6,0.6,-0.30177,0.09939,1.623,-0.90919,0.37063,-0.20325,-0.00412,232.1716418,95.06058707,-0.395256909,-0.406672,-0.260655,-0.35777,0.12173,2.2771,-0.558889,0.215416,-0.146553,-0.006683
molecule_1110,Train,C[C@@H]1OC(O[C@H]1C)C=C,dichloromethane,H-Donor,-2.6,-0.7,-6.5,-1.3,1.3,2,-0.32614,0.03811,1.6869,-0.65659,0.23326,0.44045,-0.005024,146.2595155,67.70107233,-0.254821656,-0.078759,0.031068,-0.37734,0.01792,2.4183,-0.542601,0.176532,0.386493,-0.006486
molecule_1111,Train,CC(C)C1O[C@@H](C)[C@H](C)O1,dichloromethane,H-Donor,-4.1,-0.7,-6.5,-1.3,1.3,2,-0.31966,0.09403,1.6046,-0.66262,0.23804,0.4773,-0.003755,184.2573446,65.62917948,-0.22336317,-0.097714,0.028465,-0.36537,0.05546,2.2296,-0.544394,0.176514,0.364891,-0.005467
molecule_1112,Train,CC1O[C@@H](C)[C@@H](C)O1,dichloromethane,H-Donor,-2.5,-0.7,-6.5,-1.3,1.3,2,-0.32507,0.09781,1.5182,-0.66909,0.23415,0.46111,-0.004106,120.7011287,58.20461786,-0.275410928,-0.100708,0.026082,-0.37853,0.05733,2.8346,-0.591398,0.182286,0.436935,-0.007029
molecule_1113,Train,CCC1O[C@H](C)[C@H](C)O1,dichloromethane,H-Donor,-2.4,-0.7,-6.5,-1.3,1.3,2,-0.31824,0.09557,1.4643,-0.67668,0.23346,0.47027,-0.004029,130.7220237,64.95193767,-0.170651434,-0.096009,0.032247,-0.37506,0.058,2.0949,-0.54386,0.172587,0.393174,-0.007465
molecule_1114,Train,CC(C)C1O[C@H](C)[C@H](C)O1,dichloromethane,H-Donor,-3.5,-0.7,-6.5,-1.3,1.3,2,-0.31742,0.09002,1.5451,-0.67731,0.2377,0.47141,-0.003975,142.0851015,68.63192354,-0.196638774,-0.096815,0.028622,-0.36425,0.056,2.1246,-0.545368,0.173098,0.36274,-0.006242
molecule_1115,Test,C1CCOCOC1,dichloromethane,H-Donor,-3.8,-0.7,-6.5,-1.3,1.3,2,-0.32226,0.10357,1.1736,-0.65173,0.23397,0.29759,-0.003643,109.7819114,55.24788207,-0.170209525,-0.076336,0.039135,-0.37397,0.05959,1.6213,-0.522627,0.151871,0.230719,-0.006181
molecule_1117,Train,[H]C(C1=CC=C(OC)C=C1)(C2=CC=C(OC)C=C2)C3=CC=C(OC)C=C3,acetonitrile,H-Donor,-7,-4.7,-4.7,-3.3,-0.3,4.3,-0.26415,0.00354,2.575,-0.57048,0.26541,0.33438,-0.012451,201.7048754,67.37504786,-0.041332273,-0.030135,0.03935,-0.3263,-0.00288,4.7291,-0.407638,0.18003,0.314408,-0.015416
molecule_1119,Train,[H]C(C1=CC=C(N(C)C)C=C1)(C2=CC=CC=C2)C3=CC=C(N(C)C)C=C3,acetonitrile,H-Donor,-4.2,-4.7,-4.7,-3.3,-0.3,4.3,-0.2334,0.00972,3.2103,-0.509,0.26138,0.19634,-0.012362,203.2830528,67.80841914,-0.066152117,-0.01961,0.037869,-0.30723,0.00363,2.8463,-0.3295,0.168763,0.211032,-0.01355
molecule_112,Train,O=S([O-])[O-],water,O-Nucleophile,16.83,-17.1,-8.8,5.6,0.1,0.6,-0.16156,0.26505,2.108,-1.19029,0,1.57077,-0.379834,117.7085938,68.8857636,-0.316861715,-0.227662,-0.685064,-0.26725,0.10533,5.3285,-1.108929,0,1.325714,-0.391131
molecule_1120,Train,[H]C1([H])C2=C(C=CC=C2)N(C)C3=CC=CC=C31,acetonitrile,H-Donor,4,-4.7,-4.7,-3.3,-0.3,4.3,-0.24366,0.01603,1.2849,-0.49859,0.24857,0.19221,-0.006476,166.7847651,68.72669141,-0.119618939,-0.029851,0.042851,-0.29913,-0.00525,1.1346,-0.310005,0.171926,0.18014,-0.007267
molecule_1121,Train,[H]C1([H])C=CCC2=C1C=CC=C2,acetonitrile,H-Donor,-2.5,-4.7,-4.7,-3.3,-0.3,4.3,-0.2863,0.02053,0.3434,-0.47843,0.24919,-0.0436,-0.003994,130.7833381,62.25501148,-0.086169508,-0.051757,0.042746,-0.33615,0.0073,0.6013,-0.292511,0.164163,0.01756,-0.004257
molecule_1122,Train,C1(CCC=C2)=C2C=CC=C1,acetonitrile,H-Donor,-3.3,-4.7,-4.7,-3.3,-0.3,4.3,-0.27053,-0.00353,0.8778,-0.46654,0.24264,-0.02698,-0.003838,114.1478339,70.92348776,-0.13163472,-0.03992,0.039412,-0.32744,-0.00588,1.3315,-0.283889,0.159191,0.037499,-0.004174
molecule_1123,Train,CC1=NCCN1,dichloromethane,N-SP2,12.92,-0.7,-6.5,-1.3,1.3,2,-0.27513,0.07377,3.4994,-0.72072,0.41007,0.48772,-0.006722,224.4719706,86.06719752,-0.2023127,-0.204485,-0.262101,-0.34503,0.03203,3.481,-0.523883,0.264369,0.372034,-0.010068
